col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa,_RAJ2000,_DEJ2000,[RSP2011],HIP,RAJ2000_xa,DEJ2000_xa,2MASS_x,EPIC,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit,angDist_xb
62.15144,23.76842,04083620+2346071,62.15084,23.768642,0.1,0.06,0,7.84,7.441,8.93879624097887,7.323,1.9121,0.023,0.023,0.015,AAA,111,0,2450751.8427,2.132235,136520621512582570,62.15090645,23.76859651,0.0,0.0,90,268959744,32,51992.97951389,0,24,11.7405,10.1247,0.0665,12.0952,0.1068,88,9.2351,0.0746,12.6124,0.0904,88,8.4314,0.001,12.4117,0.001,88,8.919,0.1103,11.2558,0.0735,88,9.4704,0.0512,10.4821,0.0153,88,0.273402,62.1508776682556,23.7686110334322,0.002,0.001,90,53942250914697472,62.15144047243,0.0618,23.76842473571,0.0294,0.00261338528426504,21.0455,0.055,119.629,0.151,-43.269,0.095,false,3976270.0,3032.1,1311.39144487319,9.189675,1869830.0,4642.23,402.787022616286,9.671883,2969840.0,5785.37,513.336225686516,8.580086,1.091797,36.05,0.62,6,5051.1,0.0165,0.0093,0.81,0.387,0.166822,62.150833,23.768611,148,,04 08 36.2,+23 46 07.0,04083620+2346071,211049709,10.27,0.9,0,6.0,det,9.3908,0.9522,0.0102,0,N,corr,9.3908,0.9553,0.0099945,Y,Y,0,0.023063
61.58646,19.02735,04062060+1901391,61.585852,19.027533,0.08,0.06,0,11.341,10.756,11.8330975351782,10.471,4.9834,0.022,0.02,0.018,AAA,222,0,2450751.8113,2.171554,130830615862043377,61.58643108,19.02735824,0.005,0.003,90,436527104,52,56159.58869213,5,72,18.0490975351782,16.687,0.0032,16.7607,0.0023,115000,15.4544,0.0022,15.5026,0.0029,115000,13.7979,9.0E-4,13.8544,0.0013,115000,13.0398,0.0043,13.0875,0.0011,115000,12.6603,0.0035,12.6912,0.0078,115000,2.06877,61.5859662085715,19.0274728405353,0.004,0.002,90,47247938791363200,61.58645642553,0.0958,19.02735170632,0.048,0.0055,18.7249,0.1038,107.636,0.248,-28.135,0.131,false,29229.3,17.461,1673.97629001775,14.523818,4004.57,22.0207,181.854800256123,16.344997,40771.0,74.8045,545.034055437841,13.236041,3.108956,,,0,3648.42,,,,,0.444951,61.585833,19.027472,138,,04 06 20.6,+19 01 38.9,04062060+1901391,210744677,13.63,0.22,0,2.5,det,0.4812,0.2485,0.009,1,N,corr,0.4812,0.5901,0.0081875,Y,N,0,0.064734
64.482,14.54619,04175555+1432464,64.481479,14.54624,0.08,0.07,0,10.871,10.276,11.417979021305,10.017,4.4336,0.02,0.024,0.017,AAA,222,0,2450727.8627,1.82438,125450644818115943,64.48197614,14.54619511,0.057,0.02,90,436527104,52,56196.22646991,5,68,17.0241,15.6231,0.0016,15.6896,0.0017,115000,14.4506,0.0081,14.4942,0.0122,115000,13.2149,0.0671,13.169,0.0163,115256,12.7511,0.001,12.6085,0.001,16892472,12.1588,3.0E-4,12.1651,1.0E-4,115000,1.739857,64.481545484351,14.5462617719702,0.002,0.002,90,3311464182294287104,64.48199616949,0.062,14.54619159916,0.0369,0.0039,19.0632,0.0738,101.32,0.145,-16.298,0.102,false,58431.0,42.3686,1379.11094536992,13.771758,10676.1,47.8145,223.281640506541,15.280359,75621.1,263.179,287.337135561728,12.565312,2.715047,,,0,3956.55,0.5095,0.3015,,,0.244571,64.48125,14.54625,210,,04 17 55.5,+14 32 46.5,04175555+1432464,210451321,13.86,0.3,0,4.0,det,10.1182,0.7765,0.0085,0,N,corr,10.1182,0.8654,0.0095905,Y,N,0,0.799099
64.1065,14.17132,04162538+1410172,64.105783,14.171445,0.06,0.06,90,10.925,10.321,12.0504290044965,10.049,4.6952,0.02,0.02,0.019,AAA,222,0,2450727.0007,2.542784,125000641061856146,64.10647161,14.1713279,0.009,0.007,90,436527104,52,55954.12174769,5,62,17.952,15.9506,0.0055,16.0169,0.0133,115000,14.7442,0.0121,14.8075,0.0027,115000,13.2242,0.001,13.2772,0.001,115000,12.5913,0.0131,12.6169,0.0028,16892472,12.2093,0.003,12.2361,0.0103,115000,2.440243,64.105902167184,14.1714102890784,0.002,0.002,90,3311426420941869952,64.10649895745,0.0714,14.17132150049,0.042,0.0032,25.1354,0.0815,134.391,0.144,-20.622,0.113,false,50280.2,30.5363,1646.57145757672,13.934874,8068.14,23.2578,346.900394706292,15.584455,67031.5,102.345,654.956275343202,12.696222,2.888232,,,0,3879.77,0.391,0.2317,,,0.434311,64.105833,14.171417,197,,04 16 25.4,+14 10 17.1,04162538+1410172,210432080,14.09,0.21,2,3.5,det,2.9001,0.0616,0.0092,1,M,sec,1.4486,0.2788,0.005845,Y,N,1,0.176186
63.70975,24.37685,04145019+2422375,63.709143,24.377089,0.1,0.07,0,12.479,11.903,13.0722094147013,11.593,5.1248,0.02,0.022,0.021,AAA,222,0,2450780.7935,2.168395,137250637095352860,63.7097245,24.37686166,0.012,0.001,90,436527104,52,55965.70934028,10,71,19.4857,18.0065,0.0072,18.0939,0.0134,115000,16.7178,0.0043,16.7969,0.0053,115000,15.0,0.0021,15.0652,0.0016,115000,14.2073,0.0026,14.2702,0.0025,115000,13.8251,0.0042,13.8409,0.007,115000,2.074994,63.7092536788403,24.3770389732098,0.002,0.002,90,149956519694104704,63.70975437598,0.0806,24.3768474837,0.0396,0.0045,19.7625,0.0884,105.924,0.156,-44.475,0.124,false,9513.0,6.36388,1494.84276887685,15.742572,1211.93,6.57382,184.357040503086,17.64269,13588.8,20.2745,670.240943056549,14.428964,3.213727,,,0,3633.55,0.0533,0.0327,,,0.405151,63.709167,24.377056,180,,04 14 50.2,+24 22 37.4,04145019+2422375,211088189,16.02,0.16,0,2.0,raw,28.9101,0.064,0.0112,2,N,corr,,,0.3876735,Y,M,0,0.099752
58.17154,25.80422,03524101+2548159,58.170892,25.80444,0.06,0.06,90,8.704,8.042,9.65292796653285,7.893,7.4089,0.032,0.034,0.026,AAA,111,0,2451812.9018,2.24456,138960581706405698,58.17089485,25.80433088,0.018,0.018,90,268513280,32,56992.32476852,0,6,1.7599,,,,,0,15.3019,0.1118,,,24,14.4138,0.036,13.1699,0.0659,16777240,,,,,0,,,,,0,0.392941,58.1708744224303,25.8044370822656,0.002,0.001,90,67351757289092224,58.17154351468,0.0547,25.80421569189,0.0193,0.0027,22.4898,0.0604,139.906,0.104,-51.42,0.05,true,1112360.0,428.191,2597.81265836975,10.572748,393375.0,316.107,1244.43621938141,11.364372,1027650.0,729.544,1408.61963089272,9.732307,1.632065,35.5,0.37,16,4165.1,0.531,0.23,0.7,0.131,0.05793,58.170833,25.804444,86,,03 52 41.0,+25 48 16.0,03524101+2548159,211169647,10.59,0.66,0,6.5,det,14.6609,0.6264,0.01,0,M,corr,14.6609,0.6342,0.0035175,Y,Y,0,0.192835
55.94682,20.85995,03434706+2051363,55.946091,20.860094,0.06,0.06,0,10.484,9.831,11.3328704453995,9.612,4.3929,0.021,0.019,0.022,AAA,222,0,2451127.8436,2.506572,133030559465432540,55.94669774,20.8599847,0.036,0.02,0,436527104,52,56075.39837963,3,47,16.8943,15.1734,0.0049,15.2322,0.0073,115000,14.0049,0.0118,14.0598,0.0166,115000,13.4287,0.4869,13.0511,0.2217,16778264,12.0299,0.0373,12.6604,0.041,24,11.7093,0.0066,11.7204,0.0012,115000,2.078674,55.9461660903263,20.8600966568595,0.002,0.001,90,63395989328447232,55.94682289747,0.0566,20.85994697571,0.0389,0.0029,22.0889,0.0641,142.55,0.12,-34.765,0.088,false,87238.2,70.7352,1233.30675533539,13.336599,16056.4,82.7309,194.079841993741,14.837266,111788.0,312.323,357.924328339572,12.140936,2.69633,,,0,3816.77,0.457,0.257,,,0.252787,55.945833,20.860111,78,,03 43 47.0,+20 51 36.4,03434706+2051363,210865372,13.38,0.32,0,2.5,det,12.3675,0.5442,0.0091,0,N,corr,12.3168,0.632,0.014581,Y,N,0,0.869454
58.98885,18.43215,03555715+1825564,58.988145,18.432356,0.08,0.07,0,10.23,9.629,11.1840744469244,9.388,4.2272,0.024,0.025,0.021,AAA,222,0,2450750.8042,2.519415,130110589888139175,58.98881482,18.4321507,0.046,0.041,0,839180288,100,55991.43510417,3,64,16.5473,14.7512,0.0018,14.8089,0.0023,115000,13.6152,0.0016,13.6688,7.0E-4,16892216,14.5035,0.0012,13.6101,0.0012,16793912,13.3844,0.0012,12.6139,0.001,16794168,12.5857,0.1243,12.0268,0.1561,16892472,2.404072,58.9882318663704,18.4322836642842,0.002,0.001,90,49968306654050944,58.98885223589,0.0609,18.43215065467,0.032,0.0028,22.8673,0.0646,136.694,0.133,-30.893,0.081,false,117051.0,73.3411,1595.98097110624,13.017426,23398.7,53.3061,438.949763723101,14.428411,144987.0,174.746,829.701395167844,11.858597,2.569814,,,0,4000.62,0.398,0.184,,,0.394752,58.987917,18.432278,99,,03 55 57.1,+18 25 56.2,03555715+1825564,210704853,13.11,0.37,0,5.0,det,22.7739,0.566,0.0091,1,Y,corr,23.1244,0.616,0.006335,N,N,0,0.778958
61.0454,15.80601,04041073+1548219,61.044731,15.806085,0.08,0.07,0,12.779,12.203,13.5491697334496,11.859,5.7144,0.023,0.026,0.02,AAA,222,0,2450725.9748,2.333013,126960610453527728,61.04529661,15.80602546,0.003,0.002,90,436527104,52,56179.41655093,5,65,20.5716,18.8814,0.009,19.0001,0.0093,115000,17.5734,0.0034,17.6381,0.0084,115000,15.5807,0.0023,15.6434,0.0031,115000,14.6452,0.0012,14.6927,0.0016,115000,14.1807,0.0032,14.1867,0.008,115000,1.970896,61.0448332417373,15.8060973872729,0.005,0.002,90,45404199528067200,61.04540142286,0.1365,15.80601263385,0.064,0.0067,21.7788,0.1465,126.975,0.297,-19.685,0.142,false,5674.58,3.76216,1508.33032087949,16.303532,534.671,7.28636,73.3797122294259,18.531172,8605.42,16.1195,533.851546263842,14.924991,3.606181,,,0,3385.67,0.1115,0.0972,,,0.35695,61.044583,15.806056,127,,04 04 10.7,+15 48 21.8,04041073+1548219,210523892,16.65,0.13,2,3.0,det,0.2967,0.0975,0.0095,1,N,corr,0.2967,0.2666,0.008919,Y,N,1,0.533867
66.35478,17.91521,04252501+1754552,66.354246,17.915339,0.08,0.06,0,8.73,8.16,9.621,7.977,3.1492,0.02,0.017,0.018,AAA,111,0,2450752.8947,1.887219,129490663545439165,66.35449827,17.91546767,0.009,0.009,90,268959744,32,56337.87553241,0,8,16.0864304259939,14.4428,0.0026,14.0334,0.0015,16777240,11.1262,0.001,,,24,,,,,0,12.3696,,12.2195,0.0016,16,11.6415,0.3522,,,24,0.980458,66.3542803564989,17.9153497174367,0.002,0.001,90,3314063908819076352,66.35477640827,0.0441,17.91521441925,0.0226,0.0018482900971056,21.317,0.0394,109.626,0.102,-31.424,0.072,false,1076960.0,381.623,2822.05212998168,10.607862,387026.0,396.027,977.271751673497,11.382038,986418.0,683.664,1442.84034262445,9.776768,1.60527,38.49,0.28,13,4191.07,0.39,0.149,0.71,0.139,0.123849,66.354167,17.915333,311,,04 25 25.0,+17 54 55.2,04252501+1754552,210667985,10.62,0.63,2,3.5,raw,0.2452,0.0989,0.0204,2,N,corr,,,0.1538085,Y,Y,0,0.277221
59.8615,23.38526,03592659+2323077,59.860806,23.385494,0.07,0.07,90,11.518,10.913,12.4030348602157,10.651,4.9099,0.024,0.025,0.018,AAA,222,0,2450750.8446,2.443005,136060598614862898,59.86136761,23.38529691,0.006,0.004,90,436527232,52,56050.33230324,5,53,18.5460348602157,16.794,0.0045,16.8765,0.0051,115000,15.5609,9.0E-4,15.6223,0.0026,115000,13.9345,0.0038,13.9723,9.0E-4,16892216,13.1907,0.0063,13.2304,9.0E-4,115000,12.8108,0.0053,12.8372,0.0017,115000,1.986734,59.8608748078803,23.3854462762711,0.003,0.002,90,65502206932420224,59.86149966105,0.0947,23.38525712404,0.0415,0.0044,22.4082,0.0982,133.206,0.168,-43.932,0.102,false,25391.2,12.7638,1989.31352731945,14.676657,3599.79,14.5769,246.951683828523,16.460695,35138.0,75.8392,463.32239791559,13.397477,3.063218,,,0,3642.94,0.458,0.2718,,,0.284973,59.860833,23.385444,113,,03 59 26.6,+23 23 07.6,03592659+2323077,211026112,13.8,0.19,0,5.0,det,1.3183,0.628,0.0096,0,N,corr,1.3183,0.6633,0.0045545,N,N,0,0.089591
61.35752,19.44201,04052565+1926316,61.356894,19.442135,0.06,0.06,90,8.889,8.259,9.73288440039871,8.107,2.924,0.032,0.027,0.026,AAA,111,0,2450751.8013,2.172219,131330613571071303,61.35711671,19.44228875,0.015,0.015,90,1417830400,169,56068.3119213,1,3,13.6618844003987,12.036,,,,16420,11.031,,,,16420,10.548,,,,16420,10.237,,,,16420,10.078,,,,114724,0.936993,61.356960407444,19.4421517606458,0.001,0.001,90,50298125783225088,61.35751774012,0.0467,19.44201115852,0.0219,0.0024,21.1435,0.0517,122.064,0.096,-32.656,0.054,false,874588.0,532.72,1641.74050157681,10.833858,301328.0,328.188,918.156666301023,11.653789,815733.0,656.418,1242.70358216868,9.98305,1.670738,37.57,0.26,19,4060.13,0.438,0.214,0.71,0.124,0.23337,61.356667,19.442222,133,19082,04 05 25.6,+19 26 32.0,04052565+1926316,210771915,10.9,0.94,1,4.0,raw,13.914,0.5326,0.0094,0,N,corr,13.8499,0.6036,0.004844,Y,N,1,0.811028
61.05386,18.99561,04041279+1859445,61.053325,18.995712,0.06,0.06,90,11.918,11.338,12.4246800134698,11.063,4.8906,0.021,0.022,0.018,AAA,222,0,2450750.9184,1.857768,130790610537015308,61.05376802,18.99563371,0.003,0.003,90,436527104,52,56179.72549769,5,80,18.5715,17.2098,0.0033,17.2853,0.0057,115000,15.9536,0.0023,16.0276,0.0019,115000,14.3297,0.0021,14.3971,0.0038,115000,13.5827,0.004,13.6393,0.0021,115000,13.2329,0.0046,13.2292,0.0014,115000,1.534132,61.0533597508792,18.9957260819426,0.003,0.002,90,50248991357476736,61.053855005,0.1,18.99561354891,0.0514,0.0057,18.7213,0.1067,108.763,0.218,-26.137,0.117,false,17675.0,7.43701,2376.62716602506,15.069968,2507.02,12.2779,204.18964155108,16.853493,24582.0,36.3619,676.037280780157,13.785378,3.068114,,,0,3658.98,0.458,0.2718,,,0.128696,61.053333,18.995694,128,,04 04 12.8,+18 59 44.5,04041279+1859445,210742592,15.29,0.18,0,3.0,det,0.8037,0.3163,0.0086,0,N,corr,0.8037,0.3427,0.002513,Y,N,0,0.118662
60.0655,19.41,04001556+1924367,60.064836,19.410221,0.07,0.06,0,11.579,10.97,12.2873479939015,10.697,4.8434,0.024,0.025,0.022,AAA,222,0,2450750.8502,2.3908,131290600652682627,60.06546487,19.41001294,0.009,0.003,90,436527104,52,56137.86709491,5,76,18.378,16.7877,0.0068,16.8559,0.0047,115000,15.5404,0.007,15.5934,0.0023,115000,13.9639,9.0E-4,14.0145,9.0E-4,16892216,13.2465,0.0044,13.2915,0.0018,16892216,12.8773,0.0038,12.8989,0.003,115000,2.26282,60.0649326959216,19.4101478239037,0.002,0.001,90,50427387118457984,60.06549937966,0.0726,19.41000435096,0.0395,0.0039,20.8003,0.0805,124.136,0.16,-33.323,0.095,false,24762.1,13.9082,1780.39573776621,14.703896,3664.35,11.2631,325.341158295673,16.441397,33927.8,35.2709,961.920450002694,13.43553,3.005867,,,0,3928.11,0.4045,0.248,,,0.420941,60.064583,19.410139,116,,04 00 15.5,+19 24 36.5,04001556+1924367,210769813,13.91,0.2,0,4.0,det,1.8626,0.897,0.009,0,N,corr,1.8626,0.9168,0.009952,N,N,0,0.859621
65.45714,19.48556,04214955+1929086,65.456494,19.485744,0.07,0.07,90,12.711,12.06,13.6746838532012,11.668,6.6838,0.021,0.022,0.02,AAA,222,0,2450752.8574,2.290283,131380654569513272,65.45703564,19.48559736,0.008,0.007,0,436527104,52,56099.91793981,5,74,21.7836838532012,19.777,0.0136,19.9116,0.017,115000,18.3518,0.0041,18.4854,0.0097,115000,16.0036,0.0041,16.0772,0.0029,115000,14.8575,0.0041,14.9031,0.0013,115000,14.2278,0.0028,14.2617,0.0014,115000,1.912524,65.4565260113836,19.4857240108128,0.014,0.01,90,48190739948429184,65.45714127676,0.4628,19.48555861047,0.1827,0.0203,25.1963,0.5117,134.716,0.912,-38.416,0.619,false,4059.32,6.23264,651.300251578785,16.667233,250.006,6.53103,38.2797200441584,19.35651,6951.86,25.4073,273.616637737973,15.156668,4.199843,,,0,3356.0,,,,,0.130312,65.45625,19.485722,,,04 21 49.5,+19 29 08.6,,210774807,14.06,0.14,2,5.5,det,0.1515,0.1632,0.0083,1,Y,corr,0.205,0.191,0.0101545,N,N,1,0.828121
59.81319,16.66431,03591499+1639520,59.812489,16.664448,0.08,0.06,0,11.269,10.661,12.2718169458706,10.382,4.823,0.021,0.024,0.018,AAA,222,0,2450725.9179,2.468128,127990598129507765,59.81315728,16.66431819,0.011,0.004,90,436527104,52,56158.58652778,5,74,18.3544,16.4646,0.0037,16.5221,0.0028,115000,15.205,0.0026,15.2543,0.0019,115000,13.6065,5.0E-4,13.6648,0.0015,115000,12.8936,0.0,12.9334,0.001,16892216,12.5432,0.0049,12.5467,0.0023,115000,2.351666,59.8125538789451,16.6644247491013,0.003,0.002,90,46458115782368384,59.81318781217,0.0782,16.66431058406,0.045,0.00360192828812076,23.8761,0.086,141.052,0.181,-26.516,0.117,false,34484.0,14.4628,2384.32392067926,14.344322,5106.36,17.6035,290.076405260318,16.08111,47291.3,45.3524,1042.75187200677,13.074967,3.006143,,,0,3956.35,0.339,0.212,,,0.238898,59.8125,16.664417,111,,03 59 15.0,+16 39 51.9,03591499+1639520,210579563,14.52,0.2,0,3.5,det,1.2774,0.7753,0.0091,0,N,corr,1.2774,0.7883,0.005336,Y,N,0,0.04709
55.19164,17.57983,03404581+1734477,55.190881,17.579937,0.08,0.06,90,12.698,12.061,13.6113865381601,11.728,5.829,0.021,0.023,0.02,AAA,222,0,2450720.9913,2.633116,129090551913676365,55.19149445,17.57984922,0.005,0.005,0,436527104,52,56020.83108796,5,59,20.7443,18.8609,0.0102,18.9857,0.0172,115000,17.557,0.0073,17.6431,0.0063,115000,15.5326,0.0035,15.6008,0.0046,115000,14.6117,0.0017,14.6582,0.0022,115000,14.1292,0.0018,14.1513,0.008,115000,2.128864,55.1909213982136,17.5799410214836,0.004,0.003,90,44388010264995200,55.19164292963,0.1142,17.57982915818,0.0883,0.0062,23.8055,0.1466,159.755,0.278,-25.981,0.191,false,5857.9,6.51358,899.336463204566,16.26901,530.702,15.1791,34.9626789467096,18.53926,8987.51,18.2225,493.209493757717,14.877822,3.661439,,,0,3389.25,0.3795,0.218,,,0.139395,55.190833,17.579917,,,03 40 45.8,+17 34 47.7,03404581+1734477,210643507,16.64,0.13,0,3.0,det,22.2675,0.0867,0.0091,2,N,corr,,,0.0202895,N,N,0,0.186049
